run_id,name,start_date,elapsed_time,count,avg_time,calories
14425915457,Push-Ups Workout • Free Goal,2025-05-09 21:14:19+00:00,36,41,0.79,12.99
14432125091,Push-Ups Workout • Free Goal,2025-05-10 14:55:11+00:00,139,80,0.89,25.35
14432838878,Push-Ups Workout • Free Goal,2025-05-10 16:09:16+00:00,52,50,0.98,15.84
14435642291,Push-Ups Workout • Free Goal,2025-05-10 20:25:08+00:00,40,50,0.77,15.84
14435651379,Push-Ups Workout • Free Goal,2025-05-10 20:27:44+00:00,33,40,0.78,12.68
14442875629,Push-Ups Workout • Free Goal,2025-05-11 15:15:34+00:00,36,41,0.81,12.99
14443657897,Push-Ups Workout • Free Goal,2025-05-11 16:26:15+00:00,39,40,0.88,12.68
14443673377,Push-Ups Workout • Free Goal,2025-05-11 16:27:55+00:00,46,40,1.08,12.68
14444220321,Push-Ups Workout • Free Goal,2025-05-11 17:06:53+00:00,45,50,0.85,15.84
14445216459,Push-Ups Workout • Free Goal,2025-05-11 18:17:14+00:00,45,51,0.84,16.16
14445390719,Push-Ups Workout • Free Goal,2025-05-11 18:31:13+00:00,36,41,0.79,12.99
14446799086,Push-Ups Workout • Free Goal,2025-05-11 20:37:35+00:00,46,51,0.8,16.16
14451478858,Push-Ups Workout • Free Goal,2025-05-12 06:29:14+00:00,37,41,0.81,12.99
14451498467,Push-Ups Workout • Free Goal,2025-05-12 06:33:35+00:00,38,41,0.85,12.99
14451519008,Push-Ups Workout • Free Goal,2025-05-12 06:38:03+00:00,35,41,0.79,12.99
14451531077,Push-Ups Workout • Free Goal,2025-05-12 06:40:50+00:00,35,41,0.8,12.99
14455700774,Push-Ups Workout • Free Goal,2025-05-12 19:53:34+00:00,35,41,0.81,12.99
14455854669,Push-Ups Workout • Free Goal,2025-05-12 20:12:10+00:00,32,41,0.73,12.99
14456340374,Push-Ups Workout • Free Goal,2025-05-12 21:16:16+00:00,35,41,0.81,12.99
14456349698,Push-Ups Workout • Free Goal,2025-05-12 21:17:36+00:00,33,41,0.75,12.99
14461012427,Push-Ups Workout • Free Goal,2025-05-13 05:44:22+00:00,39,41,0.87,12.99
14461337331,Push-Ups Workout • Free Goal,2025-05-13 06:26:42+00:00,39,41,0.88,12.99
14461373582,Push-Ups Workout • Free Goal,2025-05-13 06:31:29+00:00,37,41,0.84,12.99
14461429032,Push-Ups Workout • Free Goal,2025-05-13 06:38:50+00:00,36,41,0.77,12.99
14466443541,Push-Ups Workout • Free Goal,2025-05-13 19:56:46+00:00,35,41,0.8,12.99
14466597922,Push-Ups Workout • Free Goal,2025-05-13 20:14:16+00:00,31,41,0.72,12.99
14466619063,Push-Ups Workout • Free Goal,2025-05-13 20:16:48+00:00,33,41,0.75,12.99
14467294542,Push-Ups Workout • Free Goal,2025-05-13 21:36:33+00:00,34,41,0.78,12.99
14472529611,Push-Ups Workout • Free Goal,2025-05-14 06:23:04+00:00,37,41,0.82,12.99
14472593258,Push-Ups Workout • Free Goal,2025-05-14 06:31:15+00:00,35,41,0.71,12.99
14477543437,Push-Ups Workout • Free Goal,2025-05-14 19:50:50+00:00,32,41,0.73,12.99
14477550672,Push-Ups Workout • Free Goal,2025-05-14 19:54:00+00:00,33,41,0.73,12.99
14477826742,Push-Ups Workout • Free Goal,2025-05-14 20:25:32+00:00,31,41,0.69,12.99
14483255121,Push-Ups Workout • Free Goal,2025-05-15 05:59:11+00:00,33,41,0.71,12.99
14483262107,Push-Ups Workout • Free Goal,2025-05-15 06:00:11+00:00,36,41,0.81,12.99
14483351416,Push-Ups Workout • Free Goal,2025-05-15 06:12:32+00:00,32,41,0.71,12.99
14483359219,Push-Ups Workout • Free Goal,2025-05-15 06:13:39+00:00,33,41,0.73,12.99
14483538334,Push-Ups Workout • Free Goal,2025-05-15 06:38:58+00:00,31,41,0.7,12.99
14483593336,Push-Ups Workout • Free Goal,2025-05-15 06:45:25+00:00,33,41,0.71,12.99
14488404461,Push-Ups Workout • Free Goal,2025-05-15 20:22:47+00:00,39,41,0.87,12.99
14493423351,Push-Ups Workout • Free Goal,2025-05-16 06:05:53+00:00,34,41,0.74,12.99
14493432778,Push-Ups Workout • Free Goal,2025-05-16 06:07:14+00:00,34,41,0.78,12.99
14493529840,Push-Ups Workout • Free Goal,2025-05-16 06:20:46+00:00,32,41,0.74,12.99
14493572412,Push-Ups Workout • Free Goal,2025-05-16 06:27:06+00:00,33,41,0.74,12.99
14493682488,Push-Ups Workout • Free Goal,2025-05-16 06:43:35+00:00,31,41,0.7,12.99
14499147075,Push-Ups Workout • Free Goal,2025-05-16 21:59:19+00:00,32,41,0.69,12.99
14499157490,Push-Ups Workout • Free Goal,2025-05-16 22:03:25+00:00,57,71,0.73,22.5
14503165526,Push-Ups Workout • Free Goal,2025-05-17 07:33:29+00:00,35,41,0.76,12.99
14503267618,Push-Ups Workout • Free Goal,2025-05-17 07:41:40+00:00,36,41,0.76,12.99
14503512510,Push-Ups Workout • Free Goal,2025-05-17 08:40:26+00:00,34,42,0.76,13.31
14509225159,Push-Ups Workout • Free Goal,2025-05-17 21:41:38+00:00,32,41,0.73,12.99
14514033540,Push-Ups Workout • Free Goal,2025-05-18 09:24:56+00:00,42,42,0.95,13.31
14514778321,Push-Ups Workout • Free Goal,2025-05-18 13:33:18+00:00,36,41,0.78,12.99
14518981499,Push-Ups Workout • Free Goal,2025-05-18 20:01:36+00:00,35,41,0.76,12.99
14524256145,Push-Ups Workout • Free Goal,2025-05-19 06:15:01+00:00,35,42,0.77,13.31
14524262516,Push-Ups Workout • Free Goal,2025-05-19 06:16:23+00:00,42,42,0.94,13.31
14524368072,Push-Ups Workout • Free Goal,2025-05-19 06:41:16+00:00,40,42,0.88,13.31
14528584559,Push-Ups Workout • Free Goal,2025-05-19 20:16:22+00:00,40,42,0.89,13.31
14529098808,Push-Ups Workout • Free Goal,2025-05-19 21:22:22+00:00,36,42,0.79,13.31
14529141114,Push-Ups Workout • Free Goal,2025-05-19 21:27:51+00:00,34,42,0.74,13.31
14534116927,Push-Ups Workout • Free Goal,2025-05-20 06:18:42+00:00,37,42,0.79,13.31
14534189695,Push-Ups Workout • Free Goal,2025-05-20 06:28:49+00:00,34,42,0.74,13.31
14539110156,Push-Ups Workout • Free Goal,2025-05-20 19:48:38+00:00,36,42,0.75,13.31
14539289725,Push-Ups Workout • Free Goal,2025-05-20 20:08:25+00:00,35,42,0.76,13.31
14544870494,Push-Ups Workout • Free Goal,2025-05-21 05:32:41+00:00,37,42,0.8,13.31
14544878785,Push-Ups Workout • Free Goal,2025-05-21 05:34:04+00:00,38,42,0.81,13.31
14544928959,Push-Ups Workout • Free Goal,2025-05-21 05:41:06+00:00,36,42,0.76,13.31
14544989966,Push-Ups Workout • Free Goal,2025-05-21 05:49:31+00:00,38,42,0.84,13.31
14545410745,Push-Ups Workout • Free Goal,2025-05-21 06:45:42+00:00,35,42,0.77,13.31
14550404580,Push-Ups Workout • Free Goal,2025-05-21 20:24:23+00:00,37,42,0.8,13.31
14555745002,Push-Ups Workout • Free Goal,2025-05-22 06:25:59+00:00,38,42,0.77,13.31
